X,Y,OBJECTID,NAME,ADDRESS,CITY,ZIP,UPDATE_DATE,STATUS
11797722.0000933,6930841.99965464,5519,SACRED HEART CATHOLIC CHURCH,12975 PURCELL ROAD,MANASSAS,20112,2019/07/26 20:03:31+00,1
11798581.8331821,6930623.79216643,5520,PRINCE OF PEACE UNITED METHODIST CHURCH,6299 TOKEN FOREST DRIVE,MANASSAS,20112,2021/08/25 20:50:07+00,1
11785115.9999536,6929890.00042175,5521,WOODBINE CHURCH,12914 CANOVA DRIVE,MANASSAS,20112,2019/07/26 20:03:31+00,1
11829899.9997393,6929127.00035703,5522,EBENEZER BAPTIST CHURCH,13020 TELEGRAPH ROAD,WOODBRIDGE,22192,2019/07/26 20:03:31+00,1
11828565.313018,6927071.73584312,5523,MOUNT OLIVE BAPTIST CHURCH,13111 MINNIEVILLE ROAD,WOODBRIDGE,22192,2020/07/31 20:41:12+00,1
11828302.7758018,6928009.970212,5524,MINISTERIO DE VIDA WOODBRIDGE,2610 OMISOL ROAD,LAKE RIDGE,22192,2021/07/28 19:23:50+00,1
11815531.0003019,6927853.50019585,5525,DALE CITY CHURCH OF CHRIST,13130 HILLENDALE DRIVE,DALE CITY,22193,2019/07/26 20:03:31+00,1
11815717.9998541,6927575.50006759,5526,HILLENDALE BAPTIST CHURCH,13135 HILLENDALE DRIVE,WOODBRIDGE,22193,2019/07/26 20:03:31+00,1
11837798.4737306,6927133.23651518,5527,ST PAUL UNITED METHODIST CHURCH,1400 G STREET,WOODBRIDGE,22191,2020/09/30 18:32:37+00,1
11795545.9998353,6926512.50025861,5528,ST MARY'S CATHOLIC CHURCH BYZANTINE RITE,6719 TOKEN VALLEY ROAD,MANASSAS,20112,2020/07/31 20:18:54+00,1
11836500.9943054,6926504.2094426,5529,EMMANUEL PRESBYTERIAN MISSION CHURCH,13403 BAXTER STREET,WOODBRIDGE,22191,2021/08/25 20:50:26+00,1
11818588.1333607,6926302.29251441,5530,PARKWAY CHURCH,3713 PENNINGTON LANE,WOODBRIDGE,22192,2021/08/25 20:50:52+00,1
11827350.8331449,6926126.20854624,5531,CITY LIGHT CHURCH,13215 MINNIEVILLE ROAD,WOODBRIDGE,22192,2021/08/25 20:51:19+00,1
