_id,X,Y,OBJECTID,SOURCE,NAME_CODE,ALT_NAME,ZIPCODE,LINK,TYPE,CITY,ADDRESS,UPDATE_DATE,DISTRICT
73,11785762.0007559,6927397.00001714,192,113,110,,20112,https://woodbine.pwcs.edu/,7,MANASSAS,13225 CANOVA DR,2020/06/30 20:04:15+00,Prince William
74,11824568.9999134,6920420.99953346,193,113,30,,22192,https://gar-fieldhs.pwcs.edu/,4,WOODBRIDGE,14000 SMOKETOWN RD,2020/01/07 14:58:49+00,Prince William
75,11745202.9998531,6953322.49967521,194,113,56,E H MARSTELLER MS,20136,https://marstellerms.pwcs.edu/,3,BRISTOW,14000 SUDLEY MANOR DR,2020/01/07 14:58:49+00,Prince William
76,11836137.9997412,6922950.49972379,195,111,51,FRED M LYNN MS,22191,https://lynnms.pwcs.edu/,3,WOODBRIDGE,1650 PRINCE WILLIAM PKWY,2020/01/07 14:58:49+00,Prince William
77,11817039.9995515,6892177.99991721,196,113,21,,22026,https://dumfrieses.pwcs.edu/,1,DUMFRIES,3990 CAMERON ST,2020/01/07 14:58:48+00,Prince William
78,11798459.9996381,6924462.99965155,197,113,92,HERBERT J SAUNDERS MS,20112,https://saundersms.pwcs.edu/,3,MANASSAS,13557 SPRIGGS RD,2020/01/07 14:58:49+00,Prince William
79,11811887.9996849,6905638.00022814,198,113,78,JOHN F PATTIE SR ES,22025,https://pattiees.pwcs.edu/,1,DUMFRIES,16125 DUMFRIES RD,2020/01/07 14:58:49+00,Prince William
80,11729130.417497,6974850.79093613,199,55,14,,20155,https://bucklandmillses.pwcs.edu/,1,GAINESVILLE,10511 WHARFDALE PL,2020/01/07 14:58:48+00,Prince William
81,11814120.0004702,6916315.50019854,200,113,33,GEORGE M HAMPTON MS,22193,https://hamptonms.pwcs.edu/,3,WOODBRIDGE,14800 DARBYDALE AVE,2020/01/07 14:58:49+00,Prince William
82,11837025.9996056,6930112.99917831,201,113,71,,22192,https://occoquanes.pwcs.edu/,1,WOODBRIDGE,12915 OCCOQUAN RD,2020/01/07 14:58:49+00,Prince William
83,11824686.9599793,6900829.29035738,202,111,109,MARY WILLIAMS ES,22026,https://williamses.pwcs.edu/,1,DUMFRIES,3100 PANTHER PRIDE DR,2020/01/07 14:58:49+00,Prince William
84,11765588.9997634,6963243.00017539,203,113,67,STONEWALL JACKSON HS,20109,https://unityreedhs.pwcs.edu/,4,MANASSAS,8820 RIXLEW LN,2021/07/02 17:28:03+00,Prince William
85,11762875.3339309,6979344.3889043,204,113,121,,20109,https://nvcc.edu/manassas/index.html,8,MANASSAS,10950 CAMPUS DR,2020/01/07 15:03:43+00,State
86,11827645.0003231,6910562.49989355,205,113,120,,22191,https://nvcc.edu/woodbridge/index.html,8,WOODBRIDGE,2645 COLLEGE DR,2020/01/07 15:03:43+00,State
87,11832168.0001353,6934460.49966963,206,113,89,,22192,https://rockledgees.pwcs.edu/,1,WOODBRIDGE,2300 MARINER LN,2020/01/07 14:58:49+00,Prince William
88,11823142.0001427,6902781.99937846,207,111,83,,22026,https://potomachs.pwcs.edu/,4,DUMFRIES,3401 PANTHER PRIDE DR,2020/01/07 14:58:49+00,Prince William
89,11830392.0000784,6905481.99988396,208,111,49,,22191,https://leesylvaniaes.pwcs.edu/,1,WOODBRIDGE,15800 NEABSCO RD,2020/01/07 14:58:49+00,Prince William
90,11823927.5651726,6901085.66714121,209,55,84,,22026,https://potomacms.pwcs.edu/,3,DUMFRIES,3130 PANTHER PRIDE DR,2020/01/07 14:58:49+00,Prince William
91,11742571.0005239,6961789.49947347,210,113,13,,20136,https://bristowrunes.pwcs.edu/,1,BRISTOW,8990 WORTHINGTON DR,2020/01/07 14:58:48+00,Prince William
92,11734325.1026457,6977648.35522288,211,113,75,,20155,https://pacewest.pwcs.edu/,7,GAINESVILLE,14490 JOHN MARSHALL HWY,2020/06/11 18:40:59+00,Prince William
93,11741144.456461,6966431.73493963,212,113,81,,20136,https://pineybranches.pwcs.edu/,1,BRISTOW,8301 LINTON HALL RD,2020/01/07 14:58:49+00,Prince William
94,11745247.4223364,6947832.35645604,213,113,100,,20181,https://tclaywoodes.pwcs.edu/,1,NOKESVILLE,10600 KETTLE RUN RD,2020/01/07 14:58:49+00,Prince William
95,11745334.2623858,6948827.23898071,214,113,77,,20181,https://patrioths.pwcs.edu/,4,NOKESVILLE,10504 KETTLE RUN RD,2020/06/30 20:04:43+00,Prince William
96,11721472.0656877,6992195.98951338,215,113,86,RONALD REAGAN MS,20169,https://ronaldreaganms.pwcs.edu/,3,HAYMARKET,15801 TANNING HOUSE PL,2020/01/07 14:58:49+00,Prince William
97,11807453.0003528,6907895.99997722,216,113,27,,22193,https://forestparkhs.pwcs.edu/,4,WOODBRIDGE,15721 FOREST PARK DR,2020/06/30 20:06:20+00,Prince William
98,11762019.6460097,6960041.23951855,217,55,34,GOVERNORS @ INNOVATION PARK,20110,https://governors.pwcs.edu/,4,MANASSAS,10900 GEORGE MASON CIR,2020/06/11 18:40:35+00,Prince William
99,11761978.3855936,6960047.86975463,218,113,117,,20110,https://scitechcampus.gmu.edu/,8,MANASSAS,10900 GEORGE MASON CIR,2020/01/07 15:03:43+00,State
100,11768890.7100235,6952456.27437355,219,113,91,GEORGE C ROUND ES CTY MANASSAS,20110,https://www.mcpsva.org/roundes,1,MANASSAS,10100 HASTINGS DR,2020/01/07 14:59:47+00,Manassas
101,11771191.0279294,6956247.25005929,220,113,42,DEAN ES CITY OF MANASSAS,20110,https://www.mcpsva.org/jenniedeanes,1,MANASSAS,9601 PRINCE WILLIAM ST,2020/01/07 14:59:47+00,Manassas
102,11770737.9025233,6962253.3266298,221,113,37,R C HAYDON ES CITY OF MANASSAS,20110,https://www.mcpsva.org/haydones,1,MANASSAS,9075 PARK AVE,2020/01/07 14:59:47+00,Manassas
103,11777311.4802554,6963730.31973881,222,113,106,WEEMS ES CITY OF MANASSAS,20110,https://www.mcpsva.org/weemses,1,MANASSAS,8750 WEEMS RD,2020/01/07 14:59:47+00,Manassas
104,11786100.862611,6923065.79936196,223,113,114,CHARLES J COLGAN SR HS,20112,https://colganhs.pwcs.edu/,4,MANASSAS,13833 DUMFRIES RD,2020/01/07 14:58:49+00,Prince William
105,11829680.6084566,6893246.09915897,224,113,116,,22026,https://covington-harperes.pwcs.edu/,1,DUMFRIES,2500 RIVER HERITAGE BLVD,2020/01/07 14:58:48+00,Prince William
106,11816824.7640896,6928061.82283446,227,45,319,JOHN D JENKINS ES,22192,https://jenkinses.pwcs.edu/,1,WOODBRIDGE,4060 PRINCE WILLIAM PKWY,2020/01/07 14:58:49+00,Prince William
107,11819891.999753,6919996.00005539,228,111,7,,22193,https://belaires.pwcs.edu/,1,WOODBRIDGE,14151 FERNDALE RD,2020/06/29 17:05:01+00,Prince William
108,11789777.6541419,6961623.59298113,229,113,19,COUGAR ES MANASSAS PARK CITY,20111,https://www.mpark.net/our-schools/cougar-elementary,1,MANASSAS,9330 BRANDON ST,2020/06/29 16:14:30+00,Manassas Park
109,11790033.1300089,6962115.62086846,230,113,52,MP ES MANASSAS PARK CITY,20111,https://www.mpark.net/our-schools/manassas-park-elementary-school,1,MANASSAS,9298 COUGAR CT,2020/06/29 16:29:24+00,Manassas Park
110,11784803.6033945,6967558.50794855,231,113,54,MP MS MANASSAS PARK CITY,20111,https://www.mpark.net/our-schools/manassas-park-middle-school,3,MANASSAS,8202 EUCLID AVE,2020/06/29 16:29:34+00,Manassas Park
111,11784976.5548202,6968206.76058905,232,113,53,MP HS MANASSAS PARK CITY,20111,https://www.mpark.net/our-schools/manassas-park-high-school,4,MANASSAS,8200 EUCLID AVE,2020/06/29 16:29:28+00,Manassas Park
112,11811618.0002249,6904917.00035779,233,113,105,,22025,,9,DUMFRIES,16108 DUMFRIES RD,2020/06/30 20:00:48+00,Prince William
113,11829858.5247674,6890162.94489221,234,40,321,,22026,https://potomacshoresms.pwcs.edu/,3,DUMFRIES,17851 WOODS VIEW DR,2021/06/25 19:40:35+00,Prince William
