ID,STATE_NAME,ST_ABBREV,CNTY_NAME,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,Shape_Length,Shape_Area
51153901014,VIRGINIA,VA,Prince William County,4983,4979,3092,1413,1469,2604,4947,2.053614476,1.265090071,3489,0.700180614,1013,0.203454509,242,0.092933948,491,0.099252072,12,0.008492569,363,0.117399741,445,0.089303632,446,0.089504315,,7.093647814,54.45186,0.159426034,32.01979424,883990.7633,184,0.125255276,1.139751735,0,0.28546388,1.633868942,3670.781811,4.785313936,0,0.360416739,0.005332872
51153901015,VIRGINIA,VA,Prince William County,3561,3531,2108,1200,1200,2043,3548,2.589837255,1.061661264,3222,0.904802022,854,0.241857831,117,0.057268722,169,0.047632469,28,0.023333333,158,0.074952562,440,0.123560798,109,0.030609379,,7.082437705,55.07443,0.155425998,43.40777377,1107827.185,0,0,0.362892957,0,0.24545199,4.410326657,3620.090821,6.238691324,0,0.050473068,0.000143346
51153901016,VIRGINIA,VA,Prince William County,5428,5319,3330,1580,1649,2666,5379,2.121730214,1.279419333,4238,0.780766396,912,0.171460801,261,0.097899475,596,0.110801264,52,0.032911392,283,0.084984985,368,0.06779661,368,0.06779661,,7.117392077,55.20171,0.182967272,46.09943735,1030613.53,6,0.003638569,0.293537733,0,0.20415516,2.229885919,3123.932807,6.116978077,0,0.073124437,0.000315403
51153901101,VIRGINIA,VA,Prince William County,2290,1363,931,585,681,601,1166,2.0952355,1.359522632,1081,0.472052402,506,0.371239912,39,0.064891847,86,0.073756432,22,0.037606838,50,0.053705693,130,0.056768559,51,0.022270742,,6.94197459,54.77903,0.101699777,614.1145394,205287.0109,291,0.427312775,11.19244556,0,1.7593463,0,8808.165426,4.605097512,0,0.176718939,0.000801153
51153901102,VIRGINIA,VA,Prince William County,3378,2660,1170,822,888,450,1975,1.518885385,0.722854983,1041,0.308170515,777,0.292105263,46,0.102222222,81,0.041012658,0,0,0,0,588,0.174067496,0,0,,6.959277596,54.61496,0.153393294,51.72197596,431302.0148,8,0.009009009,11.12488073,0,1.042302667,0.397932322,4855.608539,5.111573798,0,0.211368059,0.00144951
51153901203,VIRGINIA,VA,Prince William County,3536,3536,2417,1368,1368,2066,3532,1.836599332,1.19095373,2351,0.664875566,551,0.155825792,91,0.044046467,261,0.07389581,80,0.058479532,382,0.158047166,251,0.070984163,510,0.144230769,0.135384615,7.229948634,55.31073,0.17039332,31.81500104,968215.7395,32,0.023391813,0.106248356,0,0.047801894,3.065237532,41.57863842,6.24538736,0,0.093347322,0.000347831
51153901208,VIRGINIA,VA,Prince William County,3519,3484,2430,1315,1327,1378,3478,1.509524729,1.427838344,1542,0.438192668,701,0.201205511,100,0.07256894,443,0.127372053,102,0.07756654,245,0.100823045,117,0.033248082,993,0.282182438,0.154871795,7.274329508,55.95513,0.250528148,39.15522592,1256752.809,0,0,0,0.22466342,0.315052738,1.406666688,114.7505405,6.418285937,0,0.06938478,0.000262454
51153901209,VIRGINIA,VA,Prince William County,6564,6542,4091,1964,1998,3403,6475,1.884532094,0.901884068,4135,0.629951249,1277,0.195200245,198,0.058183955,385,0.059459459,41,0.020875764,390,0.095331215,464,0.070688605,864,0.131627057,0.144615385,7.245725137,55.66317,0.199946451,35.09796606,1209274.112,17,0.008508509,0,0.070241215,0.168614759,1.992966948,50.58751628,6.790895117,0,0.111411457,0.000448313
51153901211,VIRGINIA,VA,Prince William County,4792,4792,3100,1250,1292,2845,4792,2.328034264,1.95186455,3878,0.809265442,1055,0.220158598,70,0.024604569,368,0.076794658,101,0.0808,715,0.230645161,121,0.025250417,358,0.074707846,0.209230769,7.252120492,55.28797,0.163261273,30.33520275,900048.5228,73,0.056501548,0.104813102,0,0,3.528667488,46.7637034,6.37265802,0,0.065818739,0.000191172
51153901212,VIRGINIA,VA,Prince William County,7569,7569,4575,2152,2174,3645,7534,2.222146648,1.692985272,5855,0.773550007,1585,0.209406791,260,0.07133059,802,0.106450757,131,0.060873606,955,0.208743169,625,0.082573656,800,0.105694279,0.172307692,7.248395902,55.12448,0.142895463,28.80468244,762705.9109,77,0.035418583,0.115441776,0,0,1.509213214,48.04950574,6.351480336,0,0.091773918,0.000320537
51153901219,VIRGINIA,VA,Prince William County,5493,5474,4094,1961,2011,2923,5441,0.602429964,0.587408412,1474,0.268341526,94,0.017172086,121,0.041395826,288,0.052931446,23,0.01172871,92,0.02247191,198,0.036045877,1042,0.189695977,0.177435897,7.292614208,55.12664,0.147216262,24.07226512,515819.3126,28,0.013923421,0.103988175,0,0.033834704,0.536925088,118.8201122,3.99017824,0,0.315141613,0.002576235
51153901221,VIRGINIA,VA,Prince William County,6449,6449,4322,2318,2375,3546,6322,1.787946873,0.745813948,3880,0.601643666,1177,0.182508916,181,0.051043429,213,0.03369187,34,0.014667817,125,0.028921795,450,0.06977826,647,0.100325632,0.174358974,7.300849727,55.71293,0.1750197,31.83791702,771008.2901,0,0,0,0.026145139,0.148232588,2.374604335,79.71700393,5.473842873,0,0.080293313,0.000255769
51153901222,VIRGINIA,VA,Prince William County,2624,2624,1747,908,924,1368,2604,1.325333044,1.11962005,1111,0.42339939,395,0.150533537,73,0.053362573,304,0.116743472,4,0.004405286,180,0.103033772,141,0.053734756,342,0.130335366,0.174358974,7.318130874,55.95173,0.171749692,33.81133575,762272.3852,0,0,0,0.157746665,0.242340302,0,87.4659339,4.780141909,0,0.05251759,0.00012678
51153901223,VIRGINIA,VA,Prince William County,6194,6100,4231,2196,2196,3553,6155,1.634442424,1.070521218,3531,0.570067808,935,0.153278689,135,0.03799606,544,0.088383428,107,0.048724954,342,0.080831955,412,0.066515983,800,0.129157249,0.154871795,7.295777869,55.87334,0.178840553,33.29280021,950962.4761,0,0,0,0.162416641,0.253351136,1.054549243,80.49551526,5.429053165,0,0.10690928,0.000407571
51153901224,VIRGINIA,VA,Prince William County,4276,4276,2718,1362,1362,2175,4220,1.326460856,1.255852918,2067,0.483395697,472,0.110383536,144,0.066206897,425,0.1007109,67,0.049192364,161,0.059234731,205,0.047942002,728,0.170252572,0.206153846,7.26347541,55.69505,0.175484462,32.67403892,1003681.328,6,0.004405286,0,0.047319044,0.17945751,1.998385593,58.0515122,5.998653867,0,0.087291038,0.000331811
51153901225,VIRGINIA,VA,Prince William County,4961,4961,3330,1598,1764,2774,4952,1.340160068,1.342208095,2789,0.562185043,306,0.061681113,128,0.046142754,546,0.110258481,75,0.046933667,323,0.096996997,340,0.06853457,651,0.131223544,0.21025641,7.253598361,55.42487,0.174726004,31.78746501,997616.3484,14,0.007936508,0,0,0.106076174,2.900831599,50.01805552,6.267702966,0,0.076876345,0.000332396
51153901226,VIRGINIA,VA,Prince William County,6384,6384,4429,1766,1778,3570,6354,1.616443617,1.022075889,4200,0.657894737,562,0.088032581,112,0.031372549,540,0.084985836,40,0.022650057,398,0.089862271,520,0.081453634,694,0.108709273,0.180512821,7.235578142,54.9336,0.135344865,26.69661762,606711.6747,13,0.007311586,0.138982299,0,0,2.19394247,52.61013047,5.762226532,0,0.092273772,0.000374923
51153901227,VIRGINIA,VA,Prince William County,6079,6064,3501,1495,1495,3298,6079,2.035810189,1.600659925,4368,0.718539233,1123,0.185191293,91,0.02759248,417,0.068596809,84,0.056187291,768,0.219365895,439,0.072215825,504,0.082908373,0.180512821,7.220422678,54.98349,0.13603319,28.89422644,638008.644,0,0,0.14039161,0,0,1.677083164,41.40129893,5.646458489,0,0.115319712,0.000336665
51153901228,VIRGINIA,VA,Prince William County,6578,6506,4172,1857,1857,3517,6539,2.057802064,1.529176535,4984,0.757677106,1080,0.166000615,114,0.032413989,529,0.08089922,138,0.074313409,671,0.160834132,497,0.07555488,670,0.101854667,0.180512821,7.193119945,54.85516,0.138941747,27.34081636,651737.8126,23,0.012385568,0.159274585,0,0,0.305452962,33.22590125,5.437051861,0,0.091117352,0.000323787
51153901229,VIRGINIA,VA,Prince William County,4766,4766,2917,1340,1340,2612,4741,1.913919588,1.285957025,3348,0.702475871,743,0.15589593,112,0.04287902,388,0.081839274,76,0.056716418,306,0.104902297,349,0.073227025,426,0.089383131,0.180512821,7.205152459,54.76185,0.132334468,25.63965553,469563.7766,65,0.048507463,0.177558818,0,0,0.238329012,43.99226986,4.984798067,0,0.083217672,0.000264412
51153901230,VIRGINIA,VA,Prince William County,4116,4104,2597,1190,1190,2274,4093,1.693821805,1.348853129,2531,0.614917396,585,0.14254386,126,0.055408971,400,0.097727828,88,0.07394958,275,0.105891413,237,0.057580175,365,0.088678328,0.171282051,7.220308743,54.747,0.115549437,23.87596146,473979.8905,26,0.021848739,0.173762774,0,0,0.942108462,59.21272128,5.189426368,0,0.081257892,0.00025254
51153901231,VIRGINIA,VA,Prince William County,6456,6252,4462,2125,2294,3452,6252,1.058099547,0.928879313,2507,0.388320942,539,0.086212412,149,0.043163384,573,0.091650672,54,0.025411765,230,0.051546392,339,0.052509294,1085,0.168060719,0.177435897,7.326269126,55.12127,0.153482421,19.92447709,647886.8472,114,0.049694856,0.016279059,0.101436902,0.145475581,2.729337828,961.3269838,4.794202493,0,0.419341613,0.002044155
51153901232,VIRGINIA,VA,Prince William County,6141,5182,4480,1637,1728,3016,5147,1.253740145,0.883636894,2835,0.461651197,524,0.101119259,58,0.019230769,373,0.0724694,18,0.010995724,438,0.097767857,373,0.060739293,673,0.109591272,0.163076923,7.282990984,54.59352,0.156266049,21.15057182,592177.7948,27,0.015625,0.101659308,0.109564027,0.19129077,0.645867396,1714.125165,5.453192513,0,0.201853824,0.001335563
51153901233,VIRGINIA,VA,Prince William County,6851,6809,4721,2281,2297,3830,6821,0.971543227,0.920196318,1972,0.287841191,855,0.1255691,85,0.022193211,324,0.047500367,92,0.040333187,227,0.048083033,220,0.0321121,793,0.115749526,0.181538462,7.233007923,54.38585,0.119066826,20.88036633,349672.5666,55,0.023944275,0.199041712,0,0.067562024,0.606796311,111.166326,3.962220875,0,0.206045309,0.001577914
51153901234,VIRGINIA,VA,Prince William County,2986,2965,2228,1040,1040,1621,2922,0.942869952,0.68954633,1188,0.397856664,124,0.041821248,46,0.028377545,207,0.070841889,0,0,130,0.058348294,122,0.040857334,452,0.151373074,0.171282051,7.173738525,54.3376,0.114662456,21.73509933,406741.3266,43,0.041346154,0.297682138,0,0,0.426166774,52.05226337,4.177447346,0,0.178746216,0.001663425
51153901235,VIRGINIA,VA,Prince William County,3004,3004,1877,953,1023,1678,2892,0.872511364,0.692315764,1019,0.339214381,175,0.058255659,26,0.015494636,249,0.086099585,8,0.008394544,29,0.015450186,117,0.038948069,290,0.096537949,0.175384615,7.305967213,55.5639,0.168482614,28.01414325,614805.5949,19,0.018572825,0.044497015,0,0.105947948,0,104.3217671,4.259698461,0,0.129345117,0.000449902
51153901236,VIRGINIA,VA,Prince William County,6419,6380,3973,1995,2057,3294,6283,1.177979065,0.813681448,3145,0.489951706,364,0.057053292,86,0.026108075,357,0.05681999,58,0.029072682,232,0.058394161,394,0.061380277,588,0.091603053,0.175384615,7.28231612,55.42987,0.165762929,28.8129088,719717.9022,32,0.015556636,0.076228537,0,0.098922731,0.91617167,59.70919668,5.404692188,0,0.121118662,0.000523158
51153901237,VIRGINIA,VA,Prince William County,2982,2982,1846,1160,1234,1687,2908,1.30860753,1.118886498,1398,0.468812877,341,0.114352783,136,0.080616479,294,0.101100413,74,0.063793103,79,0.042795233,203,0.068075117,141,0.047283702,0.174358974,7.283647268,55.60815,0.175421724,30.76627588,757680.308,43,0.034846029,0,0,0.107749289,2.792380598,61.16205887,5.646726673,0,0.050161622,9.42E-05
51153901303,VIRGINIA,VA,Prince William County,5165,5091,3440,1515,1515,2986,5165,1.27690457,1.044940971,2465,0.477250726,500,0.098212532,43,0.014400536,296,0.057308809,75,0.04950495,331,0.09622093,457,0.088480155,301,0.058276864,0.172307692,7.241266667,54.23682,0.146712605,28.26367742,591954.0699,9,0.005940594,0.108488097,0.117614141,0.302704195,0.8484033,2630.700369,7.087112302,0,0.124841333,0.000445143
