censustract,pop_total_2024,uninsured_n_total_2024,uninsured_pct_total_2024,pop_male_2024,uninsured_n_male_2024,uninsured_pct_male_2024,pop_female_2024,uninsured_n_female_2024,uninsured_pct_female_2024,pop_total_2023,uninsured_n_total_2023,uninsured_pct_total_2023,pop_male_2023,uninsured_n_male_2023,uninsured_pct_male_2023,pop_female_2023,uninsured_n_female_2023,uninsured_pct_female_2023,pop_total_2022,uninsured_n_total_2022,uninsured_pct_total_2022,pop_male_2022,uninsured_n_male_2022,uninsured_pct_male_2022,pop_female_2022,uninsured_n_female_2022,uninsured_pct_female_2022,pop_total_2021,uninsured_n_total_2021,uninsured_pct_total_2021,pop_male_2021,uninsured_n_male_2021,uninsured_pct_male_2021,pop_female_2021,uninsured_n_female_2021,uninsured_pct_female_2021,pop_total_2020,uninsured_n_total_2020,uninsured_pct_total_2020,pop_male_2020,uninsured_n_male_2020,uninsured_pct_male_2020,pop_female_2020,uninsured_n_female_2020,uninsured_pct_female_2020
9013.03,5264.0,274.0,5.2,2881.0,111.0,3.9,2383.0,163.0,6.8,5242.0,280.0,5.3,2850.0,140.0,4.9,2392.0,140.0,5.9,5165.0,279.0,5.4,2866.0,153.0,5.3,2299.0,126.0,5.5,4933.0,328.0,6.6,2726.0,163.0,6.0,2207.0,165.0,7.5,4682.0,254.0,5.4,2510.0,68.0,2.7,2172.0,186.0,8.6
9013.04,3172.0,303.0,9.6,1852.0,146.0,7.9,1320.0,157.0,11.9,3181.0,347.0,10.9,1882.0,166.0,8.8,1299.0,181.0,13.9,3235.0,436.0,13.5,1897.0,215.0,11.3,1338.0,221.0,16.5,3121.0,404.0,12.9,1767.0,216.0,12.2,1354.0,188.0,13.9,2987.0,341.0,11.4,1695.0,183.0,10.8,1292.0,158.0,12.2
9013.05,4607.0,405.0,8.8,2258.0,216.0,9.6,2349.0,189.0,8.0,3888.0,471.0,12.1,1855.0,268.0,14.4,2033.0,203.0,10.0,4014.0,333.0,8.3,1956.0,165.0,8.4,2058.0,168.0,8.2,3625.0,139.0,3.8,1737.0,17.0,1.0,1888.0,122.0,6.5,3526.0,113.0,3.2,1735.0,44.0,2.5,1791.0,69.0,3.9
9013.06,5408.0,230.0,4.3,2676.0,127.0,4.7,2732.0,103.0,3.8,5068.0,207.0,4.1,2545.0,93.0,3.7,2523.0,114.0,4.5,5248.0,174.0,3.3,2699.0,75.0,2.8,2549.0,99.0,3.9,5254.0,93.0,1.8,2702.0,36.0,1.3,2552.0,57.0,2.2,4883.0,84.0,1.7,2481.0,31.0,1.2,2402.0,53.0,2.2
9014.03,7349.0,1838.0,25.0,4324.0,1152.0,26.6,3025.0,686.0,22.7,7373.0,1686.0,22.9,3952.0,974.0,24.6,3421.0,712.0,20.8,7129.0,1494.0,21.0,3838.0,857.0,22.3,3291.0,637.0,19.4,7582.0,1578.0,20.8,3841.0,842.0,21.9,3741.0,736.0,19.7,6809.0,1780.0,26.1,3306.0,979.0,29.6,3503.0,801.0,22.9
9014.07,4140.0,797.0,19.3,2133.0,484.0,22.7,2007.0,313.0,15.6,4207.0,701.0,16.7,2127.0,430.0,20.2,2080.0,271.0,13.0,4385.0,976.0,22.3,2284.0,609.0,26.7,2101.0,367.0,17.5,4220.0,852.0,20.2,2346.0,552.0,23.5,1874.0,300.0,16.0,4276.0,989.0,23.1,2295.0,602.0,26.2,1981.0,387.0,19.5
9014.09,8969.0,470.0,5.2,4548.0,120.0,2.6,4421.0,350.0,7.9,9124.0,459.0,5.0,4553.0,179.0,3.9,4571.0,280.0,6.1,8964.0,706.0,7.9,4514.0,329.0,7.3,4450.0,377.0,8.5,8661.0,541.0,6.2,4460.0,268.0,6.0,4201.0,273.0,6.5,8194.0,597.0,7.3,4221.0,366.0,8.7,3973.0,231.0,5.8
9014.11,5936.0,61.0,1.0,2767.0,20.0,0.7,3169.0,41.0,1.3,5767.0,33.0,0.6,2832.0,0.0,0.0,2935.0,33.0,1.1,5940.0,78.0,1.3,3065.0,30.0,1.0,2875.0,48.0,1.7,6103.0,167.0,2.7,3130.0,67.0,2.1,2973.0,100.0,3.4,5918.0,257.0,4.3,2943.0,129.0,4.4,2975.0,128.0,4.3
9014.12,6805.0,74.0,1.1,3359.0,28.0,0.8,3446.0,46.0,1.3,7589.0,330.0,4.3,3741.0,82.0,2.2,3848.0,248.0,6.4,7698.0,287.0,3.7,3676.0,46.0,1.3,4022.0,241.0,6.0,7616.0,221.0,2.9,3692.0,28.0,0.8,3924.0,193.0,4.9,7398.0,361.0,4.9,3577.0,67.0,1.9,3821.0,294.0,7.7
9014.13,4575.0,173.0,3.8,2151.0,97.0,4.5,2424.0,76.0,3.1,4277.0,88.0,2.1,2073.0,40.0,1.9,2204.0,48.0,2.2,4386.0,152.0,3.5,2159.0,33.0,1.5,2227.0,119.0,5.3,4225.0,149.0,3.5,2077.0,30.0,1.4,2148.0,119.0,5.5,4198.0,168.0,4.0,2150.0,8.0,0.4,2048.0,160.0,7.8
9014.14,5400.0,224.0,4.1,2860.0,141.0,4.9,2540.0,83.0,3.3,5453.0,213.0,3.9,2740.0,98.0,3.6,2713.0,115.0,4.2,5460.0,242.0,4.4,2795.0,119.0,4.3,2665.0,123.0,4.6,5234.0,266.0,5.1,2540.0,113.0,4.4,2694.0,153.0,5.7,5173.0,262.0,5.1,2682.0,143.0,5.3,2491.0,119.0,4.8
9014.15,4689.0,51.0,1.1,2319.0,37.0,1.6,2370.0,14.0,0.6,4477.0,146.0,3.3,2321.0,86.0,3.7,2156.0,60.0,2.8,4384.0,109.0,2.5,2217.0,57.0,2.6,2167.0,52.0,2.4,4512.0,176.0,3.9,2303.0,83.0,3.6,2209.0,93.0,4.2,4413.0,187.0,4.2,2253.0,95.0,4.2,2160.0,92.0,4.3
9014.16,5217.0,125.0,2.4,2516.0,70.0,2.8,2701.0,55.0,2.0,5099.0,169.0,3.3,2468.0,99.0,4.0,2631.0,70.0,2.7,5110.0,102.0,2.0,2434.0,59.0,2.4,2676.0,43.0,1.6,4954.0,112.0,2.3,2472.0,70.0,2.8,2482.0,42.0,1.7,5080.0,95.0,1.9,2400.0,64.0,2.7,2680.0,31.0,1.2
9014.17,3134.0,108.0,3.4,1541.0,24.0,1.6,1593.0,84.0,5.3,3054.0,107.0,3.5,1478.0,31.0,2.1,1576.0,76.0,4.8,2914.0,157.0,5.4,1392.0,62.0,4.5,1522.0,95.0,6.2,2666.0,182.0,6.8,1285.0,88.0,6.8,1381.0,94.0,6.8,2535.0,154.0,6.1,1219.0,69.0,5.7,1316.0,85.0,6.5
9014.18,5316.0,1039.0,19.5,2495.0,594.0,23.8,2821.0,445.0,15.8,4324.0,796.0,18.4,1948.0,348.0,17.9,2376.0,448.0,18.9,4239.0,850.0,20.1,1887.0,409.0,21.7,2352.0,441.0,18.8,3885.0,758.0,19.5,1751.0,419.0,23.9,2134.0,339.0,15.9,4060.0,623.0,15.3,2193.0,397.0,18.1,1867.0,226.0,12.1
9014.19,3974.0,938.0,23.6,1870.0,518.0,27.7,2104.0,420.0,20.0,3789.0,677.0,17.9,1600.0,418.0,26.1,2189.0,259.0,11.8,3819.0,733.0,19.2,1686.0,431.0,25.6,2133.0,302.0,14.2,4076.0,734.0,18.0,1827.0,408.0,22.3,2249.0,326.0,14.5,4257.0,725.0,17.0,2029.0,412.0,20.3,2228.0,313.0,14.0
